wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,gene_length,pis_total_hits,pgs_total_hits,pis_total_density_per_kb,pgs_total_density_per_kb,pis_CDS_hits,pgs_CDS_hits,pis_five_prime_UTR_hits,pgs_five_prime_UTR_hits,pis_three_prime_UTR_hits,pgs_three_prime_UTR_hits,pis_intron_hits,pgs_intron_hits,pis_promoter_hits,pgs_promoter_hits
WBGene00000140,anc-1,"anc-1 encodes a protein, orthologous to Drosophila MSP 300 and mammalian SYNE1 and SYNE2 proteins; ANC-1 has coiled regions, a nuclear envelope localization domain (the KASH domain) and an actin-binding domain; ANC-1 affects the positioning of nuclei and mitochondria within the cytoskeleton; ANC-1 is expressed in the cytoplasm, but is localized to the nuclear periphery in an UNC-84 dependent manner.",BAG domain; Calponin homology domain; KASH domain,I,+,protein_coding,41060,0,1,0.0,0.0244,0,0,0,0,0,0,0,1,0,0
WBGene00022834,ZK973.8,none available,Protein of unknown function DUF1265; SKP1/BTB/POZ domain,I,-,protein_coding,3005,0,1,0.0,0.3328,0,1,0,0,0,0,0,0,0,0
WBGene00219727,linc-39,none available,,I,-,lincRNA,684,0,1,0.0,1.462,0,0,0,0,0,0,0,1,0,0
WBGene00001860,him-1,"him-1 encodes a homolog of the conserved eukaryotic protein, SMC1, a member of the SMC (structural maintenance of chromosomes) superfamily that is required for embryonic viability, germline mitosis, chromosome pairing, and the segregation of mitotic chromosomes; HIM-1 can interact with SMC-3 and is required for DPY-28 localization to meiotic chromosomes; associates with the chromatin of transition-zone nuclei.","P-loop containing nucleoside triphosphate hydrolase; RecF/RecN/SMC, N-terminal; SMCs flexible hinge; Structural maintenance of chromosomes protein; Structural maintenance of chromosomes protein 1A, metazoan",I,-,protein_coding,6097,0,1,0.0,0.164,0,0,0,0,0,0,0,1,0,0
WBGene00000272,bro-1,"bro-1 encodes an ortholog of human CBFB (OMIM:121360, mutated in acute myeloid leukemia and CBFB haploinsufficiency) and Drosophila BRO/BGB; BRO-1 is required for the normal proliferation and differentiation of seam cells, alae, and male tail rays; bro-1 mutants exhibit defective seam cell division and differentiation, and males exhibit ray loss; conversely, transgenic overexpression of BRO-1 induces excess seam cell divisions at least somewhat independently of RNT-1; coexpression of both BRO-1 and RNT-1 induces full seam cell hyperplasia; rnt-1 transcription is abnormally high in bro-1 mutant larvae; BRO-1 is also required for normal structural integrity of the vulva, with bro-1 mutants showing ruptured vulvae; BRO-1 is expressed in both cytoplasm and nuclei of hypodermal seam cells (from bean-stage embryos onward), muscle cells, the uterine seam (utse) cell in late L4 larvae, some pharyngeal neurons, and male ray precursor cells, and transgenic expression of BRO-1 in seam cells alone rescues the bro-1(bp133) mutation; seam cell phenotypes of bro-1 mutants are partly suppressed by inactivation of LIN-35, FZR-1, and CKI-1, all of which inhibit progression from G1 to S phase of the cell cycle; the structural similarity of BRO-1 to CBFbeta has been confirmed by circular dichroism; BRO-1 is bound in vitro by the RUNT domains (RDs) of either RNT-1 or its human ortholog RUNX1; although BRO-1 does not itself bind DNA, it does bind to a complex of DNA with RNT-1's RD, and enhances both the strength and the specificity of RNT-1's DNA binding when it does so; BRO-1 is genetically redundant with UNC-37 and SOP-1 in specifying seam cell fate, and BRO-1's ligand RNT-1 binds UNC-37 in vitro; bro-1(bp133) and sop-1(RNAi) also show synthetic lethality.","Core binding factor, beta subunit",I,+,protein_coding,2315,1,0,0.432,0.0,0,0,0,0,1,0,0,0,0,0
WBGene00001491,frm-4,"frm-4 encodes a predicted transmembrane protein that contains an N-terminal FERM (Band 4.1-ezrin-radixin-moesin) domain; by homology, FRM-4 is predicted to function as a membrane-cytoskeleton linker protein that plays a role in cell adhesion, migration, or organization of cell surface structures; however, as loss of frm-4 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of FRM-4 in C. elegans development and/or behavior is not yet known.","Band 4.1 domain; FERM central domain; FERM, C-terminal PH-like domain; FERM, N-terminal; FERM/acyl-CoA-binding protein, 3-helical bundle; PH domain-like; Ubiquitin-related domain",I,-,protein_coding,9519,0,1,0.0,0.1051,0,0,0,0,0,0,0,1,0,0
WBGene00004393,rnt-1,"rnt-1 encodes a transcription factor that is the sole C. elegans member of the Runx family of transcriptional regulators; rnt-1 activity is required for several developmental processes, including regulation of hypodermal seam cell proliferation and proper development of the male tail; rnt-1 mutant animals also exhibit a slight reduction in body size which is enhanced by starvation; RNT-1 can physically interact with SMA-4 and regulates, either directly or indirectly, expression of tlp-1 and cki-1, which encode a C2H2 zinc finger and CDK inhibitor, respectively; RNT-1::GFP reporter fusions are expressed in the nuclei of hypodermal seam cells and transiently in body wall muscles; in males, a RNT-1::GFP is expressed in cells derived from the V5, V6 and T lineages that give rise to the sensory rays.","Acute myeloid leukemia 1 protein (AML1)/Runt; Runt domain; p53-like transcription factor, DNA-binding; p53/RUNT-type transcription factor, DNA-binding domain",I,+,protein_coding,12519,1,0,0.0799,0.0,0,0,0,0,0,0,0,0,1,0
WBGene00020839,usp-5,none available,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase; UBA-like; Ubiquitin-associated domain; Ubiquitinyl hydrolase; Zinc finger, RING/FYVE/PHD-type; Zinc finger, UBP-type",I,+,protein_coding,4416,1,0,0.2264,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00016749,C48E7.1,none available,,I,+,protein_coding,4272,1,0,0.2341,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00019431,K06A5.3,none available,Major sperm protein (MSP) domain; PapD-like,I,+,protein_coding,1040,0,1,0.0,0.9615,0,0,0,1,0,0,0,0,0,0
WBGene00017066,maco-1,maco-1 encodes a novel protein with five transmembrane domains in the N-terminus and four coiled coil domains in the C-terminus; maco-1 is functionally conserved across species and is orthologous to human macoilin (OMIM:601301); macoilin is involved in assembly or traffic of ion channels or ion channel regulators; MACO-1 is not required for development but for appropriate regulation of neuronal activity; both transmembrane domains and coiled coil domains are required for appropriate function of MACO-1; proper function of MACO-1 is necessary for normal thermotaxis in many neurons; mutations in C. elegans macoilin disrupt aggregation and are associated with multiple behavioral defects; MACO-1 is localized to the rough ER of neurons; MACO-1 is also restricted to neuronal cell bodies at embryonic developmental stages.,Macoilin,I,-,protein_coding,8539,0,1,0.0,0.1171,0,0,0,0,0,0,0,1,0,0
WBGene00020398,cerk-1,none available,"Diacylglycerol kinase, catalytic domain; NAD kinase/diacylglycerol kinase-like domain",I,+,protein_coding,5791,1,0,0.1727,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00004773,sem-4,"sem-4 encodes a zinc-finger protein; sem-4 activity is required for proper development of cells in neuronal, mesodermal, and vulval cell lineages; sem-4 activity is also required for transdifferentiation of the Y rectal cell to the PDA neuron during larval development; a SEM-4::GFP reporter fusions are widely expressed with fluorescence seen in a number of different cell types including neurons, hypodermis, vulval precursor cells, and tail blast cells such as B and F.",Zinc finger C2H2-type,I,+,protein_coding,9933,0,1,0.0,0.1007,0,0,0,0,0,0,0,1,0,0
WBGene00003622,nhr-23,"The nhr-23 gene encodes a nuclear hormone receptor homolog that is required in all larval molts; NHR-23 is highly similar to Drosophila DHR3, an ecdysone-inducible gene product involved in metamorphosis; NHR-23 is required for hypodermal expression of acn-1 and, probably, of dpy-7.","Nuclear hormone receptor; Nuclear hormone receptor, ligand-binding domain; Zinc finger, NHR/GATA-type; Zinc finger, nuclear hormone receptor-type",I,+,protein_coding,6555,1,0,0.1526,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00009188,lsy-22,none available,,I,-,protein_coding,14129,0,1,0.0,0.0708,0,0,0,0,0,0,0,0,0,0
WBGene00077552,H15N14.4,none available,,I,+,pseudogene,6380,0,1,0.0,0.1567,0,0,0,0,0,0,0,1,0,0
WBGene00009277,F30F8.10,none available,Acyl-CoA N-acyltransferase; GNAT domain,I,+,protein_coding,6895,1,0,0.145,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00008314,C54G4.4,none available,C-type lectin fold; C-type lectin-like; C-type lectin-like/link domain; Galactose-binding domain-like; Sushi/SCR/CCP domain,I,-,protein_coding,6521,0,1,0.0,0.1534,0,0,0,0,0,0,0,1,0,0
WBGene00199946,F52B5.10,none available,,I,-,ncRNA,91,0,1,0.0,10.989,0,0,0,0,0,0,0,0,0,0
WBGene00010854,M04C7.3,none available,,I,-,protein_coding,663,1,0,1.5083,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00009126,pyk-1,"pyk-1 encodes one of two C. elegans pyruvate kinases; large-scale RNAi experiments indicate that pyk-1 is essential for embryonic development and specifically, for normal cortical activity in the AB blastomere; large-scale expression studies show that pyk-1 is expressed in body wall muscle in larvae and in body wall and vulval muscle, as well as in the reproductive system, in adults.","Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, barrel; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain",I,+,protein_coding,9057,1,0,0.1104,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00009498,tat-5,"tat-5 encodes one of six C. elegans P4-type ATPases and is homologous to S. cerevisiae Neo1p; TAT-5 functions as an aminophospholipid translocase (flippase) whose activity is required to prevent phosphatidylethanolamine (PE) exposure on the outer plasma membrane and thus negatively regulate formation of extracellular vesicles known as ectosomes or microparticles; tat-5 loss-of-function mutations and tat-5(RNAi) result in embryonic lethality and hermaphrodite sterility, as a result of large-scale vesicle budding that reduces cell adhesion and leads to defects in cell shape; with the exception of very early embryos and the germline, a tat-5::gfp promoter fusion is expressed ubiquitously; TAT-5 localizes to the plasma membrane.","HAD-like domain; P-type ATPase; P-type ATPase, A  domain; P-type ATPase, C-terminal; P-type ATPase, N-terminal; P-type ATPase, cytoplasmic domain N; P-type ATPase, subfamily IV",I,-,protein_coding,11757,0,1,0.0,0.0851,0,0,0,0,0,0,0,1,0,0
WBGene00010857,M04C9.2,none available,"Peptidase C15, pyroglutamyl peptidase I-like; Putative pyroglutamyl peptidase PgaPase_1",I,-,protein_coding,4853,1,0,0.2061,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00008876,F16A11.1,none available,"Concanavalin A-like lectin/glucanase domain; SPRY domain; Zinc finger, RING-type; Zinc finger, RING/FYVE/PHD-type",I,-,protein_coding,10279,0,1,0.0,0.0973,0,0,0,0,0,0,0,1,0,0
WBGene00009646,F42H11.1,none available,DUF236 repeat,I,+,protein_coding,1533,1,0,0.6523,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00007054,scpl-1,"scpl-1 encodes, by alternative splicing, two protein isoforms of a putative class-C RNA polymerase II (RNAPII) carboxyl-terminal domain (CTD) phosphatase, orthologous to budding yeast PSR1 and PSR2 and human CTDSP1 (OMIM:605323), CTDSP2 (OMIM:608711, amplified in sarcoma), and CTDSPL (OMIM:608592, deleted in epithelial cancer), and paralogous to C. elegans SCPL-3 and human CTDSPL2; more distantly, SCPL-1 (and its paralog SCPL-3) are similar to SCPL-2, SCPL-4, and FCP-1; loss of scpl-1 activity via RNAi results in a slightly abnormal egg-laying response in the presence of serotonin; an scpl-1::gfp promoter fusion is expressed in pharyngeal, vulval, and body wall muscle; within body wall muscle, SCPL-1 localize to the M line and I band; SCPL-1 physically interacts with UNC-89 both in vitro and in vivo.","Dullard phosphatase domain, eukaryotic; FCP1 homology domain; HAD-like domain",I,-,protein_coding,15748,0,1,0.0,0.0635,0,0,0,0,0,1,0,0,0,0
WBGene00013891,ZC434.3,none available,,I,-,protein_coding,1470,1,0,0.6803,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00009743,sptf-1,none available,Zinc finger C2H2-type,I,+,protein_coding,5077,0,1,0.0,0.197,0,0,0,0,0,0,0,1,0,0
WBGene00000912,daf-16,"daf-16 encodes the sole C. elegans forkhead box O (FOXO) homologue; DAF-16 functions as a transcription factor that acts in the insulin/IGF-1-mediated signaling (IIS) pathway that regulates dauer formation, longevity, fat metabolism, stress response, and innate immunity; DAF-16 regulates these various processes through isoform-specific expression, isoform-specific regulation by different AKT kinases, and differential regulation of target genes; DAF-16 can interact with the CBP-1 transcription cofactor in vitro, and interacts genetically with other genes in the insulin signaling and with daf-12, which encodes a nuclear hormone receptor; DAF-16 is activated in response to DNA damage during development and co-regulated by EGL-27, alleviates DNA-damage-induced developmental arrest by inducing DAF-16-associated element (DAE)-regulated genes; DAF-16 is broadly expressed but displays isoform-specific tissue enrichment; DAF-16 localizes to both the cytoplasm and the nucleus, with the ratio between the two an important regulator of function.",Fork head domain; Winged helix-turn-helix DNA-binding domain,I,+,protein_coding,26206,1,0,0.0382,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00199318,R13H8.3,none available,,I,-,ncRNA,150,1,0,6.6667,0.0,0,0,0,0,0,0,0,0,1,0
WBGene00013928,clec-94,none available,C-type lectin fold; C-type lectin-like; C-type lectin-like/link domain,I,+,protein_coding,1871,0,1,0.0,0.5345,0,0,0,0,0,0,0,1,0,0
WBGene00013933,clec-99,none available,C-type lectin fold; C-type lectin-like; C-type lectin-like/link domain,I,-,protein_coding,2106,1,0,0.4748,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00010160,png-1,"png-1 encodes a peptide-N[4]-(N-acetyl-beta-D-glucosaminyl) asparagineamidase (i.e., peptide:N-glycanase or PNGase) orthologous to buddingyeast PNG1 and human NGLY1; PNG-1 is atypically organized, with anN-terminal thioredoxin-like domain, a central transglutaminase domain,and a C-terminal DUF750 domain, while lacking the PUB domain found inmammalian or insect PNGases; both in vitro and in vivo, PNG-1 shows bothprotein disulfide reductase and PNGase activities, which require itsN-terminal and central domains respectively; PNG-1 has PNGase activityon denatured but not natively folded RNAse B, and releases both highmannose- and sialo-complex-type N-glycans from glycopeptides anddenatured glycoproteins; in vivo, the png-1(cy8) mutation C251Y(predicted to destroy the PNGase active site) abolishes PNGase activitywhile leaving PNG-1's reductase activity intact; conversely, PNG-1'sreductase activity is abolished by the dual missense mutation C34S/C37S,which alters its predicted N-terminal active site; by orthology, PNG-1is expected to aid proteasomal degradation of misfolded proteins; PNG-1activity is inhibited by Zn(2+) and the caspase inhibitor z-VAD-fmk, butnot by EDTA; PNG-1 is expressed in renal gland cells and intestine;although W04G5.5 and Y50D4B.7 have some similarity to thetransglutaminase domain of PNG-1, they lack a predicted catalytic triadactive site.","Galactose-binding domain-like; Peptide N glycanase, PAW domain; Thioredoxin domain; Thioredoxin-like fold; Transglutaminase-like",I,+,protein_coding,8521,1,0,0.1174,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00014992,ZK1025.1,none available,,I,+,pseudogene,3193,1,0,0.3132,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00009314,phm-2,none available,RNA recognition motif domain; SAP domain,I,+,protein_coding,9240,1,0,0.1082,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00007637,dhhc-7,none available,"Palmitoyltransferase, DHHC domain",I,+,protein_coding,4573,1,0,0.2187,0.0,0,0,0,0,1,0,0,0,0,0
WBGene00009413,oac-19,none available,Acyltransferase 3,I,-,protein_coding,4390,1,0,0.2278,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00002004,hsf-1,"hsf-1 encodes the C. elegans heat-shock transcription factor ortholog; HSF-1 functions as a transcriptional regulator of stress-induced gene expression whose activity is required for heat-shock and proteotoxicity response, larval development, innate immunity, and regulation of adult lifespan; HSF-1 binds bovine calmodulin in vitro in a calcium-dependent manner.","Heat shock factor (HSF)-type, DNA-binding; Heat shock transcription factor family; Winged helix-turn-helix DNA-binding domain",I,-,protein_coding,9579,0,1,0.0,0.1044,0,0,0,0,0,0,0,1,0,0
WBGene00013135,rga-2,none available,PH domain-like; Pleckstrin homology domain; Rho GTPase activation protein; Rho GTPase-activating protein domain,I,+,protein_coding,6219,0,1,0.0,0.1608,0,0,0,0,0,0,0,1,0,0
WBGene00010244,F58D5.5,none available,,I,+,protein_coding,4166,1,0,0.24,0.0,0,0,0,0,1,0,0,0,0,0
WBGene00002240,ksr-2,"ksr-2 encodes one of two C. elegans Kinase Suppressor of Ras paralogs; during development, ksr-2 functions singly to control meiotic progression during oogenesis and redundantly with ksr-1 to control development of the vulva, excretory system, and male spicules; as ksr-2; ksr-1 doubly mutant animals have severely reduced or absent MPK-1/ERK diphosphorylation levels in somatic tissue, KSR-2 and KSR-1 likely function to positively regulate signaling through the LET-60/Ras pathway; ksr-2 and ksr-2; ksr-1 double mutants also show temporarily reduced germline MPK-1 phosphorylation.","Protein kinase-like domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; Tyrosine-protein kinase, catalytic domain",I,-,protein_coding,12457,0,1,0.0,0.0803,0,0,0,0,0,0,0,1,0,0
WBGene00199467,F58D5.10,none available,,I,+,ncRNA,94,0,1,0.0,10.6383,0,0,0,0,0,0,0,1,0,0
WBGene00011028,R05D7.3,none available,"Protein of unknown function DUF2371, TMEM200",I,-,protein_coding,9608,0,1,0.0,0.1041,0,0,0,1,0,0,0,0,0,0
WBGene00007602,C15C6.3,none available,,I,+,protein_coding,5593,1,0,0.1788,0.0,0,0,0,0,1,0,0,0,0,0
WBGene00010165,F56H6.4,none available,Protein of unknown function DUF595; Sulfotransferase,I,+,protein_coding,1764,1,0,0.5669,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00012104,sygl-1,"sygl-1 encodes a serine-rich protein with no known homologs outside of nematodes; sygl-1 is required for germline stem cell maintenance, albeit redundantly with lst-1; sygl-1 mRNA and protein are expressed in the gonad, including the distal-most germ cells, proximal loop region, and oocytes; in the distal-most cells, sygl-1 transcription is activated by GLP-1/Notch signaling from the distal tip cell niche; SYGL-1 protein is predominantly cytoplasmic, and the extent of expression in the distal-most cells correlates with the stem cell pool size; ectopic SYGL-1 expression drives the formation of a germline tumor and this tumor formation requires fbf-1 fbf-2, demonstrating that sygl-1 acts either upstream or parallel to fbf-1 fbf-2 to promote germline stem cell self-renewal.",,I,+,protein_coding,2427,1,0,0.412,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00010768,K11D2.1,none available,"Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II; Regulator of chromosome condensation, RCC1",I,+,protein_coding,7551,0,1,0.0,0.1324,0,0,0,0,0,0,0,1,0,0
WBGene00001008,dlk-1,"dlk-1 encodes a mitogen-activated protein kinase kinase kinase (MAPKKK) that is the C. elegans ortholog of the dual-leucine zipper MAPKKK; in C. elegans, dlk-1 functions with mkk-4 and pmk-3 in a MAPK signaling pathway that regulates presynaptic development; dlk-1 is also essential for neuron regeneration; DLK-1 abundance is negatively regulated by the RPM-1 E3 ubiquitin ligase which can stimulate DLK-1 ubiquitination; DLK-1 localizes to the periactive zone of synapses in the nerve ring and nerve cord.","Mitogen-activated protein kinase kinase kinase 12/13; Protein kinase domain; Protein kinase-like domain; Serine-threonine/tyrosine-protein kinase, catalytic domain",I,-,protein_coding,7002,1,0,0.1428,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00001746,gsk-3,"gsk-3 encodes the C. elegans glycogen synthase kinase ortholog; during embryonic development, GSK-3 functions in the Wnt signaling pathway that restricts specification of mesendodermal tissue to the appropriate blastomere; GSK-3 also functions in a Wnt pathway that regulates anteroposterior axon guidance; GSK-3 plays a role in regulating the oocyte-to-embryo transition, by phosphorylating and negatively regulating the OMA-1 zinc finger protein, and in regulation of the oxidative stress response pathway by phosphorylating SKN-1, thereby excluding it from intestinal nuclei; GSK-3, along with MOM-5/Frizzled and APR-1/APC is also required for distal tip cell migration in the gonad and for the engulfment of apoptotic cells, indicating that the Wnt pathway signals to CED-10/Rac to regulate cytoskeletal rearrangement during different cellular processes; GSK-3 can be phosphorylated by murine ERK2 in vitro, suggesting that it is a substrate for the RTK-RAS-ERK pathway in vivo; consistent with this, GSK-3 phosphorylation is absent in mpk-1 mutant animals.",Protein kinase domain; Protein kinase-like domain,I,+,protein_coding,6387,1,0,0.1566,0.0,0,0,0,0,1,0,0,0,0,0
WBGene00003735,nhx-8,"nhx-8 encodes two isoforms of a sodium/proton exchanger expressed intracellularly within hypodermal seam cells, pharyngeal muscles, pharyngeal-intestinal and intestinal-rectal valve cells, and vulval cells; nhx-8 has no obvious phenotype in mass RNAi screens; NHX-8 is thought to prevent intracellular acidification by catalysing the electroneutral exchange of vesicular sodium for an intracellular proton.","Cation/H+ exchanger; Cation/H+ exchanger, CPA1 family; Na+/H+ exchanger; Na+/H+ exchanger, isoform 8",I,+,protein_coding,8500,1,0,0.1176,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00003905,pad-1,"The pad-1 gene encodes a highly conserved, but unfamiliar, protein that is required for embryonic development.","Armadillo-type fold; Dopey, N-terminal",I,+,protein_coding,24168,1,0,0.0414,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00008132,gale-1,"gale-1 encodes a putative UDP-galactose-4-epimerase, orthologous tohuman GALE (OMIM:606953, mutated in galactose epimerase deficiency);GALE-1 is thought to interconvert UDP-N-acetylglucosamine andUDP-N-acetylgalactosamine at the end of the hexosamine pathway; gale-1is expressed in neurons, intestine and the developing reproductivesystem, but has no observed function in mass RNAi assays.",NAD(P)-binding domain; Nucleotide sugar epimerase; UDP-glucose 4-epimerase,I,+,protein_coding,8549,1,0,0.117,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00012275,npr-14,none available,"G protein-coupled receptor, rhodopsin-like",I,+,protein_coding,7017,0,1,0.0,0.1425,0,1,0,0,0,0,0,0,0,0
WBGene00009065,F22G12.5,none available,"DHR-1 domain; Dedicator of cytokinesis; Dedicator of cytokinesis C/D, N-terminal; Dedicator of cytokinesis, C-terminal; PH domain-like; Pleckstrin homology domain",I,+,protein_coding,20235,1,0,0.0494,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00011433,pde-1,pde-1 encodes one of six C. elegans cyclic nucleotide phosphodiesterases; PDE-1 is most closely related to the calcium/calmodulin (CaM)-dependent phosphodiesterases and binds bovine calmodulin in vitro in a calcium-dependent manner.,"3'5'-cyclic nucleotide phosphodiesterase; 3'5'-cyclic nucleotide phosphodiesterase N-terminal; 3'5'-cyclic nucleotide phosphodiesterase, catalytic domain; HD/PDEase domain",I,-,protein_coding,7830,0,1,0.0,0.1277,0,0,0,0,0,0,0,1,0,0
WBGene00003585,ndx-8,"The ndx-8 gene encodes a peroxisomal CoA diphosphatase with catalytic activity towards CoA and its derivatives, that is functionally homologous to the S. cerevisiae PCD1 enzyme; more generally, NDX-8 protein belongs to the family of NUDIX hydrolases.",NUDIX hydrolase domain; NUDIX hydrolase domain-like,I,+,protein_coding,14086,0,1,0.0,0.071,0,0,0,0,0,0,0,1,0,0
WBGene00305913,Y87G2A.28,none available,,I,+,ncRNA,444,1,0,2.2523,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00012232,W04A4.3,none available,Gamma interferon inducible lysosomal thiol reductase GILT,I,-,protein_coding,952,0,1,0.0,1.0504,0,0,0,0,0,0,0,1,0,0
WBGene00305648,W09G3.18,none available,,I,-,ncRNA,689,0,1,0.0,1.4514,0,1,0,0,0,0,0,0,0,0
WBGene00012241,W04A8.6,none available,,I,+,protein_coding,5062,1,0,0.1976,0.0,1,0,0,0,0,0,0,0,0,0
WBGene00013506,usp-3,none available,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase; Zinc finger, RING/FYVE/PHD-type; Zinc finger, UBP-type",I,-,protein_coding,9087,0,1,0.0,0.11,0,0,0,0,0,1,0,0,0,0
WBGene00013507,Y71A12B.10,none available,PB1 domain; Protein TFG,I,+,protein_coding,3414,1,0,0.2929,0.0,0,0,1,0,0,0,0,0,0,0
WBGene00013865,ZC334.7,none available,Glutaredoxin; Glutaredoxin subgroup; Thioredoxin-like fold,I,+,protein_coding,1661,0,1,0.0,0.602,0,0,0,0,0,0,0,1,0,0
WBGene00002108,ins-25,ins-25 encodes predicted type-alpha insulin-like molecule that lacks a C peptide domain and does not have an A6/A11 disulfide bond.,"Insulin-like; Nematode insulin-related peptide, beta type",I,+,protein_coding,952,0,1,0.0,1.0504,0,0,0,0,0,0,0,1,0,0
WBGene00007988,best-8,none available,Bestrophin; Bestrophin/UPF0187,I,-,protein_coding,3157,0,1,0.0,0.3168,0,1,0,0,0,0,0,0,0,0
WBGene00014101,gopc-1,none available,PDZ domain,I,-,protein_coding,10668,0,1,0.0,0.0937,0,0,0,0,0,0,0,1,0,0
WBGene00009863,F49B2.3,none available,,I,+,protein_coding,1086,1,0,0.9208,0.0,0,0,0,0,0,0,0,0,0,0
WBGene00006824,unc-95,"unc-95 encodes a LIM domain-containing protein related to Drosophila and vertebrate paxillins; UNC-95 is required for locomotion and organization of thick and thin filaments in body wall muscle; by homology, UNC-95 may function as an anchor protein that links signaling and cytoskeletal proteins at focal adhesions; in vitro, UNC-95 interacts with RNF-5, a RING finger protein that may function as an E3 ligase to regulate UNC-95 levels via ubiquitin-mediated degradation; UNC-95 is expressed in body-wall and vulval muscles, and co-localizes with RNF-5 to muscle dense bodies (focal adhesion-like attachment sites).","Zinc finger, LIM-type",I,-,protein_coding,3378,1,0,0.296,0.0,0,0,0,0,0,0,0,0,0,0
WBGene00002977,lev-10,"lev-10 encodes a CUB and LDLa domain-containing type I transmembrane protein; LEV-10 activity is required cell autonomously in muscle cells for clustering of post-synaptic UNC-29-containing ionotropic acetylcholine receptors (AChR); when expressed in body wall muscles, LEV-10 localizes to cholinergic neuromuscular junctions; the LEV-10 extracellular region is sufficient for rescue of AChR clustering.",CUB domain; Low-density lipoprotein (LDL) receptor class A repeat,I,+,protein_coding,9894,1,0,0.1011,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00013672,catp-1,"catp-1 encodes an alpha subunit of the Na+/K+- and H+/K+-pump P-type ATPase family; catp-1 was identified in screens for animals resistant to developmental defects seen in larvae treated with the nicotinic agonist DMPP; genetic analyses indicate that catp-1 likely functions together with the let-60/Ras and daf-2/insulin-like receptor signaling pathways to regulate L2 larval developmental timing and dauer formation in a manner independent of its ATPase domain and thus, predicted transporter activity; a catp-1::gfp promoter fusion is expressed in hypodermal cells and in the excretory duct cell; hypodermal-specific catp-1(RNAi) confers partial resistance to DMPP, suggesting that hypodermal CATP-1 expression mediates DMPP toxicity.","Cation-transporting P-type ATPase, C-terminal; Cation-transporting P-type ATPase, N-terminal; HAD-like domain; P-type ATPase; P-type ATPase,  transmembrane domain; P-type ATPase, A  domain; P-type ATPase, cytoplasmic domain N",I,-,protein_coding,15080,0,1,0.0,0.0663,0,0,0,0,0,0,0,1,0,0
WBGene00013682,Y105E8A.25,none available,Dbl homology (DH) domain; PH domain-like,I,-,protein_coding,49355,0,1,0.0,0.0203,0,0,0,0,0,1,0,0,0,0
WBGene00001334,ero-1,ero-1 encodes an endoplasmic reticulum oxidoreductase that affects ER-stress response and affects reactive oxygen species levels.,Endoplasmic reticulum oxidoreductin 1,I,+,protein_coding,10393,1,0,0.0962,0.0,0,0,0,0,0,0,1,0,0,0
WBGene00009558,F39B2.8,none available,"GPCR family 3, C-terminal",I,-,protein_coding,8352,0,1,0.0,0.1197,0,0,0,0,0,0,0,1,0,0
